movie_id,image_src,name,path
51036,https://a.ltrbxd.com/resized/sm/upload/u7/my/x3/r6/tQb3wOKzo3XxFSY6ApO7OfLHGUM-0-230-0-345-crop.jpg?k=7cf5c47a43,25th Hour,/film/25th-hour/
51881,https://a.ltrbxd.com/resized/sm/upload/qr/28/nz/3f/xaYdxi1PBEAYvqknvAmMPK5Eff3-0-230-0-345-crop.jpg?k=59597d9dc0,28 Days Later,/film/28-days-later/
38931,https://a.ltrbxd.com/resized/film-poster/3/8/9/3/1/38931-28-up-0-230-0-345-crop.jpg?k=02dbf321e8,28 Up,/film/28-up/
50972,https://a.ltrbxd.com/resized/film-poster/5/0/9/7/2/50972-28-weeks-later-0-230-0-345-crop.jpg?k=9fff2e960e,28 Weeks Later,/film/28-weeks-later/
447210,https://a.ltrbxd.com/resized/film-poster/4/4/7/2/1/0/447210-3-faces-0-230-0-345-crop.jpg?k=c411a04fd8,3 Faces,/film/3-faces/
33020,https://a.ltrbxd.com/resized/film-poster/3/3/0/2/0/33020-3-godfathers-0-230-0-345-crop.jpg?k=4292b56ca9,3 Godfathers,/film/3-godfathers/
38999,https://a.ltrbxd.com/resized/film-poster/3/8/9/9/9/38999-3-idiots-0-230-0-345-crop.jpg?k=6420d121a5,3 Idiots,/film/3-idiots/
51105,https://a.ltrbxd.com/resized/film-poster/5/1/1/0/5/51105-3-iron-0-230-0-345-crop.jpg?k=a7e8dca7a4,3-Iron,/film/3-iron/
23383,https://a.ltrbxd.com/resized/sm/upload/s1/mb/ok/v7/eO9JnxcIQa8BPVqVrTBapj5w1Jq-0-230-0-345-crop.jpg?k=80be7dfacf,3 Women,/film/3-women/
51111,https://a.ltrbxd.com/resized/film-poster/5/1/1/1/1/51111-300-0-230-0-345-crop.jpg?k=7d82f4d1f8,300,/film/300/
48918,https://a.ltrbxd.com/resized/film-poster/4/8/9/1/8/48918-3-10-to-yuma-0-230-0-345-crop.jpg?k=9504a504be,3:10 to Yuma,/film/310-to-yuma-2007/
43294,https://a.ltrbxd.com/resized/film-poster/4/3/2/9/4/43294-3-10-to-yuma-0-230-0-345-crop.jpg?k=b430c678fd,3:10 to Yuma,/film/310-to-yuma/
35511,https://a.ltrbxd.com/resized/film-poster/3/5/5/1/1/35511-35-shots-of-rum-0-230-0-345-crop.jpg?k=56577d8e03,35 Shots of Rum,/film/35-shots-of-rum/
38930,https://a.ltrbxd.com/resized/film-poster/3/8/9/3/0/38930-35-up-0-230-0-345-crop.jpg?k=96e63f0dfb,35 Up,/film/35-up/
35209,https://a.ltrbxd.com/resized/film-poster/3/5/2/0/9/35209-4-little-girls-0-230-0-345-crop.jpg?k=29450d33b2,4 Little Girls,/film/4-little-girls/
50604,https://a.ltrbxd.com/resized/film-poster/5/0/6/0/4/50604-4-months-3-weeks-and-2-days-0-230-0-345-crop.jpg?k=46b7e838b6,"4 Months, 3 Weeks and 2 Days",/film/4-months-3-weeks-and-2-days/
38927,https://a.ltrbxd.com/resized/film-poster/3/8/9/2/7/38927-42-forty-two-up-0-230-0-345-crop.jpg?k=1105ad8fe8,42 Up,/film/42-up/
87875,https://a.ltrbxd.com/resized/sm/upload/5y/3p/zn/ra/imha8jHAqMfEGUDoe1JrYwBeW0l-0-230-0-345-crop.jpg?k=9f7d45c6a9,42,/film/42/
49909,https://a.ltrbxd.com/resized/film-poster/4/9/9/0/9/49909-42nd-street-0-230-0-345-crop.jpg?k=b060a3e8be,42nd Street,/film/42nd-street/
238264,https://a.ltrbxd.com/resized/sm/upload/36/ji/89/pm/45-years-0-230-0-345-crop.jpg?k=5b1be76854,45 Years,/film/45-years/
51901,https://a.ltrbxd.com/resized/sm/upload/bz/yc/c6/wz/fGp7fsyVxujRy9e0RAyZFvq9aZi-0-230-0-345-crop.jpg?k=58783e204d,48 Hrs.,/film/48-hrs/
43950,https://a.ltrbxd.com/resized/film-poster/4/3/9/5/0/43950-49-up-0-230-0-345-crop.jpg?k=1ee74a2ecb,49 Up,/film/49-up/
38238,https://a.ltrbxd.com/resized/sm/upload/k4/be/0l/e6/49th-parallel-0-230-0-345-crop.jpg?k=b574f82b54,49th Parallel,/film/49th-parallel/
26400,https://a.ltrbxd.com/resized/film-poster/2/6/4/0/0/26400-5-centimeters-per-second-0-230-0-345-crop.jpg?k=17be087c46,5 Centimeters per Second,/film/5-centimeters-per-second/
183508,https://a.ltrbxd.com/resized/film-poster/1/8/3/5/0/8/183508-5-to-7-0-230-0-345-crop.jpg?k=b7add7a68b,5 to 7,/film/5-to-7/
24177,https://a.ltrbxd.com/resized/film-poster/2/4/1/7/7/24177-50-50-0-230-0-345-crop.jpg?k=e96aab431a,50/50,/film/50-50/
50773,https://a.ltrbxd.com/resized/film-poster/5/0/7/7/3/50773-50-first-dates-0-230-0-345-crop.jpg?k=06fc74ec30,50 First Dates,/film/50-first-dates/
39350,https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-230-0-345-crop.jpg?k=592ef408c3,(500) Days of Summer,/film/500-days-of-summer/
92205,https://a.ltrbxd.com/resized/sm/upload/2k/gg/6g/ir/qi6RkzyiqmV9XT8eAj4hwTGhc9x-0-230-0-345-crop.jpg?k=168148db84,56 Up,/film/56-up/
62810,https://a.ltrbxd.com/resized/sm/upload/yv/eo/zo/by/lyTBXLKM4Msv2fZhaQaVABXT3lF-0-230-0-345-crop.jpg?k=fac1b02ae5,6 Days to Air: The Making of South Park,/film/6-days-to-air-the-making-of-south-park/
212952,https://a.ltrbxd.com/resized/film-poster/2/1/2/9/5/2/212952-7-days-in-hell-0-230-0-345-crop.jpg?k=9d76b24842,7 Days in Hell,/film/7-days-in-hell/
14963,https://a.ltrbxd.com/resized/sm/upload/ve/1g/o0/n6/1XmhSLNK1oUgk7fYIQQxK83wZhT-0-230-0-345-crop.jpg?k=8dbcf0f378,7 Plus Seven,/film/7-plus-seven/
30212,https://a.ltrbxd.com/resized/film-poster/3/0/2/1/2/30212-71-fragments-of-a-chronology-of-chance-0-230-0-345-crop.jpg?k=55fe1014a8,71 Fragments of a Chronology of Chance,/film/71-fragments-of-a-chronology-of-chance/
176035,https://a.ltrbxd.com/resized/sm/upload/wa/ky/eh/v1/b8dmfG84peFdouN2N8wOsiI9WHt-0-230-0-345-crop.jpg?k=683736488d,\'71,/film/71/
291432,https://a.ltrbxd.com/resized/film-poster/2/9/1/4/3/2/291432-78-52-0-230-0-345-crop.jpg?k=8caa152a95,78/52,/film/78-52/
68902,https://a.ltrbxd.com/resized/film-poster/6/8/9/0/2/68902-seventh-heaven-0-230-0-345-crop.jpg?k=5da1fc14d4,7th Heaven,/film/7th-heaven/
51673,https://a.ltrbxd.com/resized/sm/upload/qt/2y/ms/4w/5pQlc8dp5dXzWg1yM70DZrsDpOl-0-230-0-345-crop.jpg?k=b5768cc366,8½,/film/8-half/
50650,https://a.ltrbxd.com/resized/film-poster/5/0/6/5/0/50650-8-women-0-230-0-345-crop.jpg?k=e4c9c0bb6e,8 Women,/film/8-women/
47591,https://a.ltrbxd.com/resized/film-poster/4/7/5/9/1/47591-99-francs-0-230-0-345-crop.jpg?k=26f1f09465,99 francs,/film/99-francs/
105479,https://a.ltrbxd.com/resized/sm/upload/9p/ef/90/dt/cbXrhflhU65t08PN9HXy6GLNa9X-0-230-0-345-crop.jpg?k=d3eaa20598,A Band Called Death,/film/a-band-called-death/
